hub_id,name,lat,lon
1,Hub_Ben_Thanh,10.772144354908052,106.69833362559744
2,Hub_Nha_Hat,10.776203141926668,106.70307831129869
3,Hub_Ba_Son_Metro,10.78362627894686,106.70935799383601
4,Hub_Van_Thanh,10.797446923952664,106.716565530579
5,Hub_Tan_Cang,10.800162167868917,106.72478809568694
6,Hub_Thao_Dien_Metro,10.80204333838126,106.73518338061243
7,Hub_An_Phu,10.803838678469015,106.74419140679124
8,Hub_Rach_Chiec,10.81022440879824,106.7566816388217
9,Hub_Phuoc_Long,10.823710405771477,106.76223392416923
10,Hub_Binh_Thai,10.83441370118789,106.76532546553839
11,Hub_Thu_Duc,10.848163129872617,106.77307973828467
12,Hub_Khu_Cong_Nghe_Cao,10.860549900335787,106.78959776553872
13,Hub_DHQG,10.867994018531325,106.80267919595659
14,Hub_BXM_Moi,10.88216738833578,106.81638555362836
15,Hub_Transfer_BaSon,10.78412627894686,106.70985799383601